timestamps,TP9,AF7,AF8,TP10,Secondary Timestamp (Base),Secondary Timestamp (Remainder)
1627796834.298,-42.480,-35.156,-34.668,-48.828,942015.562,-0.021
1627796834.302,-26.367,-34.668,-30.273,-48.340,942015.562,-0.017
1627796834.306,-27.832,-18.066,-35.156,-47.852,942015.562,-0.013
1627796834.310,-37.598,-9.277,-41.992,-42.969,942015.562,-0.010
1627796834.314,-37.109,-21.484,-42.480,-42.969,942015.562,-0.006
1627796834.318,-34.668,-33.203,-37.109,-42.969,942015.562,-0.002
1627796834.322,-30.762,-25.879,-32.227,-48.828,942015.562,0.002
1627796834.325,-41.992,-14.648,-33.691,-57.129,942015.562,0.006
1627796834.329,-56.152,-11.719,-36.133,-50.293,942015.562,0.010
1627796834.333,-44.922,-13.672,-36.133,-41.504,942015.562,0.014
1627796834.337,-31.250,-12.207,-34.180,-46.387,942015.562,0.018
1627796834.341,-41.016,-18.066,-33.691,-51.270,942015.562,0.022
1627796834.341,-41.016,-18.066,-33.691,-51.270,942015.562,0.022
1627796834.343,-79.102,-30.273,-41.504,-69.336,942015.562,0.024
1627796834.347,-63.965,-25.879,-38.574,-62.012,942015.562,0.028
1627796834.351,-20.996,-17.578,-33.203,-40.039,942015.625,-0.031
1627796834.355,-31.250,-21.973,-32.227,-40.527,942015.625,-0.027
1627796834.359,-49.316,-32.227,-29.785,-52.246,942015.625,-0.023
1627796834.363,-48.828,-34.668,-24.414,-49.805,942015.625,-0.019
1627796834.367,-29.297,-22.949,-26.367,-35.645,942015.625,-0.015
1627796834.370,-30.273,-15.137,-34.668,-32.227,942015.625,-0.011
1627796834.374,-42.480,-18.555,-32.227,-32.715,942015.625,-0.008
1627796834.378,-46.875,-19.531,-34.180,-38.086,942015.625,-0.004
1627796834.382,-51.270,-30.273,-34.180,-51.270,942015.625,0.000
1627796834.386,-29.785,-35.645,-24.902,-41.992,942015.625,0.004
1627796834.388,-25.391,-42.969,-25.391,-23.438,942015.625,0.006
1627796834.392,-55.176,-43.945,-34.668,-37.598,942015.625,0.010
1627796834.396,-48.828,-18.066,-33.203,-41.016,942015.625,0.014
1627796834.400,-34.180,-14.160,-30.762,-39.551,942015.625,0.018
1627796834.404,-49.805,-18.555,-22.949,-40.039,942015.625,0.022
1627796834.408,-65.430,-15.625,-22.461,-53.223,942015.625,0.026
1627796834.412,-54.688,-20.020,-35.645,-64.453,942015.625,0.029
1627796834.415,-32.227,-14.160,-31.738,-48.340,942015.688,-0.029
1627796834.419,-26.855,-7.812,-13.184,-34.668,942015.688,-0.025
1627796834.423,-38.574,-16.113,-19.043,-42.480,942015.688,-0.021
1627796834.427,-43.945,-26.855,-46.387,-55.176,942015.688,-0.017
1627796834.431,-37.598,-34.668,-46.875,-55.176,942015.688,-0.014
1627796834.433,-37.598,-37.109,-56.152,-58.594,942015.688,-0.012
1627796834.437,-92.285,-53.223,-15.137,-102.539,942015.688,-0.008
1627796834.441,-98.145,-48.340,46.387,-89.844,942015.688,-0.004
1627796834.445,-3.418,-0.977,-25.391,0.488,942015.688,0.000
1627796834.449,14.648,0.000,-67.383,4.883,942015.688,0.004
1627796834.453,-31.738,-6.348,-40.527,-34.180,942015.688,0.008
1627796834.457,-59.082,-13.672,-37.109,-49.316,942015.688,0.012
1627796834.460,-51.270,-25.879,-36.621,-46.387,942015.688,0.016
1627796834.464,-37.598,-38.574,-35.645,-45.410,942015.688,0.020
1627796834.468,-44.922,-44.922,-39.062,-50.293,942015.688,0.024
1627796834.472,-69.336,-22.949,-45.410,-64.453,942015.688,0.027
1627796834.476,-76.172,-9.766,-34.180,-61.523,942015.750,-0.031
1627796834.478,-42.969,-4.883,-33.203,-43.457,942015.750,-0.016
1627796834.482,-25.879,-15.137,-45.898,-44.922,942015.750,-0.012
1627796834.486,-41.016,-30.762,-40.039,-56.152,942015.750,-0.008
1627796834.490,-43.945,-26.367,-32.715,-59.570,942015.750,-0.004
1627796834.494,-33.203,-25.391,-33.691,-61.035,942015.750,0.000
1627796834.498,-22.461,-26.855,-21.484,-55.176,942015.750,0.004
1627796834.502,-24.902,-15.625,-28.809,-45.898,942015.750,0.008
1627796834.505,-46.875,-16.602,-43.945,-60.547,942015.750,0.012
1627796834.509,-30.762,-16.113,-23.438,-54.688,942015.750,0.016
1627796834.513,-20.508,-15.625,-24.902,-35.156,942015.750,0.020
1627796834.517,-54.688,-33.691,-43.457,-65.918,942015.750,0.024
1627796834.521,-52.734,-30.273,-26.367,-53.223,942015.750,0.027
1627796834.523,-37.598,-25.879,-20.996,-24.902,942015.750,0.030
1627796834.527,-33.203,-38.086,-31.250,-33.691,942015.812,-0.028
1627796834.531,-35.156,-39.062,-33.691,-38.574,942015.812,-0.024
1627796834.535,-49.316,-21.973,-21.973,-44.922,942015.812,-0.020
1627796834.539,-72.754,-21.973,-28.809,-57.129,942015.812,-0.016
1627796834.543,-67.383,-32.715,-49.805,-57.129,942015.812,-0.012
1627796834.547,-55.176,-30.273,-44.922,-43.945,942015.812,-0.009
1627796834.550,-67.871,-20.020,-40.039,-44.434,942015.812,-0.005
1627796834.554,-71.777,-16.602,-31.250,-38.086,942015.812,-0.001
1627796834.558,-57.129,-22.461,-28.320,-27.832,942015.812,0.003
1627796834.562,-52.246,-27.832,-32.715,-46.875,942015.812,0.007
1627796834.566,-88.867,-38.574,-34.668,-70.312,942015.812,0.011
1627796834.583,-88.379,-28.320,-30.273,-59.082,942015.812,0.014
1627796834.587,-36.133,-12.695,-21.484,-37.109,942015.812,0.018
1627796834.591,-32.227,-24.414,-33.203,-42.480,942015.812,0.021
1627796834.595,-64.941,-37.109,-34.180,-67.871,942015.812,0.025
1627796834.599,-57.129,-24.902,-23.926,-49.316,942015.812,0.029
1627796834.603,-30.273,-14.160,-25.391,-20.996,942015.875,-0.029
1627796834.607,-21.484,-29.785,-15.625,-25.391,942015.875,-0.025
1627796834.610,-25.391,-42.480,-17.578,-36.133,942015.875,-0.021
1627796834.614,-42.480,-32.715,-24.414,-45.410,942015.875,-0.018
1627796834.618,-59.082,-23.438,-31.250,-48.828,942015.875,-0.014
1627796834.622,-50.781,-17.090,-33.691,-43.457,942015.875,-0.010
1627796834.626,-36.133,-17.578,-34.180,-32.227,942015.875,-0.006
1627796834.629,-41.504,-26.855,-30.762,-32.227,942015.875,-0.004
1627796834.633,-61.523,-23.926,-24.902,-40.039,942015.875,0.000
1627796834.637,-52.734,-18.066,-25.391,-42.480,942015.875,0.004
1627796834.641,-29.785,-23.926,-29.785,-46.875,942015.875,0.008
1627796834.645,-46.387,-27.832,-32.715,-51.758,942015.875,0.012
1627796834.649,-53.223,-20.020,-28.809,-43.945,942015.875,0.016
1627796834.653,-47.852,-20.508,-36.621,-43.945,942015.875,0.020
1627796834.656,-42.969,-32.227,-38.086,-49.805,942015.875,0.023
1627796834.660,-47.852,-29.785,-21.973,-44.434,942015.875,0.027
1627796834.664,-57.129,-16.113,-23.438,-37.109,942015.938,-0.031
1627796834.668,-66.406,-22.949,-42.969,-61.523,942015.938,-0.027
1627796834.672,-50.781,-23.926,-17.578,-65.918,942015.938,-0.023
1627796834.674,-16.602,-8.301,-11.719,-32.227,942015.938,-0.021
1627796834.678,-34.180,-18.555,-51.758,-41.016,942015.938,-0.017
1627796834.682,-45.410,-29.297,-45.410,-53.711,942015.938,-0.014
1627796834.686,-31.250,-33.203,-35.645,-46.387,942015.938,-0.010
1627796834.690,-46.387,-39.551,-36.133,-57.129,942015.938,-0.006
1627796834.694,-51.758,-30.762,-36.621,-60.547,942015.938,-0.002
1627796834.698,-35.645,-20.020,-32.715,-46.875,942015.938,0.002
1627796834.701,-31.738,-23.926,-29.297,-43.945,942015.938,0.006
1627796834.705,-19.531,-21.484,-29.297,-40.039,942015.938,0.010
1627796834.709,-28.809,-20.508,-30.273,-39.551,942015.938,0.014
1627796834.713,-56.641,-27.344,-35.645,-60.059,942015.938,0.018
1627796834.717,-57.617,-28.320,-30.762,-73.730,942015.938,0.022
1627796834.718,-21.484,-13.672,-27.344,-49.316,942015.938,0.024
1627796834.722,-16.113,-7.812,-38.086,-37.598,942015.938,0.028
1627796834.726,-34.668,-21.973,-34.668,-41.504,942016.000,-0.030
1627796834.730,-44.922,-30.273,-29.785,-44.922,942016.000,-0.027
1627796834.734,-43.457,-29.297,-38.574,-52.734,942016.000,-0.023
1627796834.738,-36.621,-23.926,-43.457,-55.176,942016.000,-0.019
1627796834.742,-55.176,-15.625,-30.273,-51.270,942016.000,-0.015
1627796834.745,-63.477,-22.461,-24.414,-47.852,942016.000,-0.011
1627796834.749,-23.438,-26.855,-25.879,-44.434,942016.000,-0.007
1627796834.753,-15.625,-24.414,-27.344,-41.504,942016.000,-0.003
1627796834.757,-36.621,-25.391,-28.320,-44.922,942016.000,0.001
1627796834.761,-53.223,-34.668,-36.133,-61.035,942016.000,0.005
1627796834.764,-43.457,-37.598,-29.785,-62.500,942016.000,0.006
1627796834.768,-24.902,-32.227,-24.902,-55.664,942016.000,0.010
1627796834.772,-26.855,-24.414,-28.320,-46.387,942016.000,0.014
1627796834.776,-38.574,-19.043,-32.715,-38.574,942016.000,0.018
1627796834.780,-40.527,-21.484,-31.250,-38.086,942016.000,0.022
1627796834.784,-29.785,-31.250,-27.344,-35.156,942016.000,0.026
1627796834.788,-37.598,-39.551,-26.367,-45.898,942016.000,0.030
1627796834.791,-48.340,-23.926,-19.531,-41.504,942016.062,-0.029
1627796834.795,-49.805,-18.066,-30.273,-33.691,942016.062,-0.025
1627796834.799,-31.738,-23.926,-30.273,-34.180,942016.062,-0.021
1627796834.803,-41.992,-32.227,-28.809,-36.133,942016.062,-0.017
1627796834.807,-64.453,-28.809,-30.273,-41.504,942016.062,-0.013
1627796834.808,-67.871,-24.902,-30.762,-52.734,942016.062,-0.011
1627796834.812,-58.594,-29.785,-29.785,-51.270,942016.062,-0.007
1627796834.816,-48.828,-30.273,-28.320,-51.270,942016.062,-0.003
1627796834.820,-62.012,-31.738,-20.508,-56.641,942016.062,0.000
1627796834.824,-63.965,-24.902,-24.414,-50.781,942016.062,0.004
1627796834.828,-44.434,-15.137,-35.645,-45.410,942016.062,0.008
1627796834.832,-41.016,-26.855,-31.250,-53.223,942016.062,0.012
1627796834.835,-54.688,-38.086,-19.043,-58.105,942016.062,0.016
1627796834.839,-52.734,-17.578,-22.461,-40.527,942016.062,0.020
1627796834.843,-52.734,-17.578,-44.434,-43.457,942016.062,0.024
1627796834.847,-39.062,-27.344,-37.109,-49.316,942016.062,0.028
1627796834.851,-38.574,-20.996,-30.273,-47.852,942016.125,-0.031
1627796834.853,-51.758,-12.695,-32.227,-46.875,942016.125,-0.015
1627796834.857,-52.246,-12.207,-30.762,-42.480,942016.125,-0.012
1627796834.861,-27.344,-17.090,-30.273,-34.668,942016.125,-0.008
1627796834.865,-16.113,-20.508,-23.926,-33.203,942016.125,-0.004
1627796834.869,-37.109,-25.391,-22.949,-38.574,942016.125,0.000
1627796834.873,-52.246,-37.598,-28.809,-38.086,942016.125,0.004
1627796834.877,-34.668,-37.598,-25.879,-27.832,942016.125,0.008
1627796834.880,-25.391,-24.902,-30.273,-32.715,942016.125,0.012
1627796834.884,-41.992,-16.602,-31.738,-39.551,942016.125,0.016
1627796834.888,-76.660,-25.391,-31.250,-50.781,942016.125,0.020
1627796834.892,-62.500,-24.414,-35.156,-42.480,942016.125,0.024
1627796834.896,-17.578,-10.254,-27.832,-12.695,942016.125,0.028
1627796834.898,-22.949,-12.207,-28.809,-21.484,942016.125,0.031
1627796834.902,-51.270,-18.066,-34.668,-37.109,942016.188,-0.028
1627796834.906,-55.176,-25.879,-33.691,-38.086,942016.188,-0.024
1627796834.910,-42.969,-28.320,-29.785,-40.527,942016.188,-0.020
1627796834.914,-50.293,-32.227,-20.996,-42.480,942016.188,-0.016
1627796834.918,-38.086,-18.555,-23.926,-27.344,942016.188,-0.012
1627796834.922,-42.969,-16.602,-39.062,-28.320,942016.188,-0.008
1627796834.925,-37.598,-32.715,-36.621,-41.992,942016.188,-0.005
1627796834.929,-30.762,-29.297,-31.250,-44.434,942016.188,-0.001
1627796834.933,-44.434,-28.320,-28.320,-41.992,942016.188,0.003
1627796834.937,-57.129,-30.273,-28.809,-47.852,942016.188,0.007
1627796834.941,-49.805,-20.020,-28.809,-48.340,942016.188,0.011
1627796834.958,-37.109,-27.832,-35.645,-49.805,942016.188,0.014
1627796834.962,-51.270,-33.691,-34.668,-56.641,942016.188,0.018
1627796834.966,-70.801,-31.738,-29.785,-57.617,942016.188,0.021
1627796834.970,-61.035,-26.367,-29.785,-58.594,942016.188,0.025
1627796834.974,-29.785,-5.371,-5.859,-44.434,942016.188,0.029
1627796834.978,-28.809,-6.836,-15.137,-32.715,942016.250,-0.029
1627796834.982,-52.246,-21.484,-47.852,-44.922,942016.250,-0.025
